709,1,Tỉnh Tây Ninh,1,VN

111,1,Tỉnh Hà Nam,1,VN

113,1,Tỉnh Nam Định,1,VN

115,1,Tỉnh Thái Bình,1,VN

511,1,Tỉnh Khánh Hoà,1,VN

117,1,Tỉnh Ninh Bình,1,VN

711,1,Tỉnh Bình Dương,1,VN

713,1,Tỉnh Đồng Nai,1,VN

715,1,Tỉnh Bình Thuận,1,VN

717,1,Tỉnh Bà Rịa - Vũng Tàu,1,VN

201,1,Tỉnh Hà Giang,1,VN

203,1,Tỉnh Cao Bằng,1,VN

401,1,Tỉnh Thanh Hoá,1,VN

403,1,Tỉnh Nghệ An,1,VN

601,1,Tỉnh Kon Tum,1,VN

205,1,Tỉnh Lào Cai,1,VN

207,1,Tỉnh Bắc Kạn,1,VN

801,1,Tỉnh Long An,1,VN

405,1,Tỉnh Hà Tĩnh,1,VN

603,1,Tỉnh Gia Lai,1,VN

209,1,Tỉnh Lạng Sơn,1,VN

407,1,Tỉnh Quảng Bình,1,VN

803,1,Tỉnh Đồng Tháp,1,VN

605,1,Tỉnh Đăk Lăk,1,VN

606,1,Tỉnh Đăk Nông,1,VN

805,1,Tỉnh An Giang,1,VN

409,1,Tỉnh Quảng Trị,1,VN

807,1,Tỉnh Tiền Giang,1,VN

809,1,Tỉnh Vĩnh Long,1,VN

211,1,Tỉnh Tuyên Quang,1,VN

213,1,Tỉnh Yên Bái,1,VN

411,1,Tỉnh Thừa Thiên Huế,1,VN

215,1,Tỉnh Thái Nguyên,1,VN

217,1,Tỉnh Phú Thọ,1,VN

811,1,Tỉnh Bến Tre,1,VN

219,1,Tỉnh Vĩnh Phúc,1,VN

813,1,Tỉnh Kiên Giang,1,VN

815,1,Thành phố Cần Thơ,1,VN

816,1,Tỉnh Hậu Giang,1,VN

817,1,Tỉnh Trà Vinh,1,VN

819,1,Tỉnh Sóc Trăng,1,VN

221,1,Tỉnh Bắc Giang,1,VN

101,1,Thành phố Hà Nội,1,VN

223,1,Tỉnh Bắc Ninh,1,VN

103,1,Thành phố Hải Phòng,1,VN

301,1,Tỉnh Điện Biên,1,VN

225,1,Tỉnh Quảng Ninh,1,VN

302,1,Tỉnh Lai Châu,1,VN

303,1,Tỉnh Sơn La,1,VN

501,1,Thành phố Đà Nẵng,1,VN

821,1,Tỉnh Bạc Liêu,1,VN

305,1,Tỉnh Hoà Bình,1,VN

503,1,Tỉnh Quảng Nam,1,VN

701,1,TP. Hồ Chí Minh,1,VN

107,1,Tỉnh Hải Dương,1,VN

823,1,Tỉnh Cà Mau,1,VN

109,1,Tỉnh Hưng Yên,1,VN

703,1,Tỉnh Lâm Đồng,1,VN

505,1,Tỉnh Quảng Ngãi,1,VN

507,1,Tỉnh Bình Định,1,VN

705,1,Tỉnh Ninh Thuận,1,VN

509,1,Tỉnh Phú Yên,1,VN

707,1,Tỉnh Bình Phước,1,VN

