Phòng Tư pháp,,vn0103994931,,2009-06-29 15:21:10,0103994931,VN,15/3/2023,Đang hoạt động,207,,số 01 Phó Đức Chính,02433832080,,Đào Hiến Chương,Trưởng phòng,0982213405,02433832080,1012923
Văn phòng HĐND và UBND huyện Châu Thành,,vn1400291193,"Đơn vị hành chính, đơn vị sự nghiệp",1998-12-17 07:00:00,1400291193,VN,15/3/2023,Đang hoạt động,23,,"Số 80, Quốc lộ 80",0919937540,,Đoàn Hữu Tiên,Chánh văn phòng,0919937540,0919937540,8032105
Bảo hiểm xã hội huyện Mường La,,vn5500257588,"Đơn vị hành chính, đơn vị sự nghiệp",2005-10-28 07:00:00,5500257588,VN,15/3/2023,Đang hoạt động,89,,"Tiểu khu 5, thị trấn Ít Ong, huyện Mường La, tỉnh Sơn La",02123831927,,Lê Thanh Xuân,Giám đốc,0987498542,0944322686,3030501
Trường Tiểu học Bạch Đằng,,vn0304097586,"Đơn vị hành chính, đơn vị sự nghiệp",2005-11-28 00:00:00,0304097586,VN,15/3/2023,Đang hoạt động,2,,57 Lê Quốc Hưng,02838268026,,Nguyễn Quách Cẩm Vân,Hiệu trưởng,0903848941,02838268026,7010721
Bảo hiểm xã hội huyện Mai Sơn,,vn5500376761,,2009-07-23 07:00:00,5500376761,VN,15/3/2023,Đang hoạt động,89,,Tiểu khu 2,0223745715,,Bùi Thị Mai Phương,Giám đốc,0987091271,0223745715,3031333
Trường Trung học Phổ thông Trần Quốc Tuấn,,vn5900277437,"Đơn vị hành chính, đơn vị sự nghiệp",2005-08-22 00:00:00,5900277437,VN,15/3/2023,Đang hoạt động,24,,Tổ dân phố 5,02693.855.229,,Lê Tấn Trọng,Hiệu trưởng,0905507677,02693.855.229,6032901
Trường tiểu học Liên Hòa,,vnz000027922,"Đơn vị hành chính, đơn vị sự nghiệp",,,,15/3/2023,Đang hoạt động,207,,Thái Nguyên,0336371618,,Đỗ Thanh Mến,Hiệu trưởng,030175004697,0336371618,1071129
CÔNG TY CỔ PHẦN ĐẦU TƯ THANH THẾ HƯNG,THANH THE HUNG INVESTMENT JOINT STOCK COMPANY,vn2902102596,Công ty cổ phần,2021-05-19 07:00:00,2902102596,VN,15/3/2023,Đang hoạt động,41,,"Số 19, Ngõ 4, đường Trần Quốc Toản",0945422691,,PHAN THỊ NGUYỆT ÁNH ,Giám đốc,0945422691,0945422691,4030113
Trường THCS Kim Anh,,vnz000027920,"Đơn vị hành chính, đơn vị sự nghiệp",,,,15/3/2023,Đang hoạt động,207,,Quyết Thắng,0975448329,,Lê  Thị Hà,Hiệu trưởng,0983082170,0975448329,1071117
CÔNG TY TNHH XD&TM HƯNG TIẾN THỊNH,,vn2901776578,Công ty trách nhiệm hữu hạn một thành viên,2015-03-11 07:00:00,2901776578,VN,15/3/2023,Đang hoạt động,41,,Xóm Vạn Đông,0974604666,,HOÀNG ĐÌNH TUYÊN ,Giám đốc,0974604666,0974604666,4032553
Phòng Tư pháp,,vn0103994931,,2009-06-29 15:21:10,0103994931,VN,15/3/2023,Đang hoạt động,207,,số 01 Phó Đức Chính,02433832080,,Đào Hiến Chương,Trưởng phòng,0982213405,02433832080,1012923
